wavelength (nm), amplitude (a.u.)
2.588734741e+02,-6.529113743e-04
2.590774536e+02,-5.707267555e-04
2.592814636e+02,-5.707267555e-04
2.594854736e+02,-2.406183863e-03
2.596895142e+02,-1.063834643e-03
2.598935852e+02,-1.063834643e-03
2.600976562e+02,-1.830891357e-03
2.603017273e+02,-1.282993704e-03
2.605058594e+02,8.264123462e-04
2.607099609e+02,-4.063574306e-04
2.609141235e+02,-4.885420785e-04
2.611182861e+02,-7.624909049e-04
2.613224487e+02,-5.981216091e-04
2.615266418e+02,-1.666522119e-03
2.617308655e+02,-3.515676653e-04
2.619350891e+02,-2.104840241e-03
2.621393127e+02,1.963300019e-04
2.623435974e+02,-3.036266193e-03
2.625478821e+02,3.059095470e-04
2.627521667e+02,-1.365178381e-03
2.629564819e+02,-1.200809027e-03
2.631607971e+02,-2.104840241e-03
2.633651428e+02,-3.241727827e-04
2.635695190e+02,-1.324086043e-04
2.637738953e+02,-7.077011396e-04
2.639783020e+02,-2.433578717e-03
2.641827087e+02,5.935558147e-05
2.643871460e+02,-6.803062861e-04
2.645915833e+02,-4.611471959e-04
2.647960510e+02,-1.282993704e-03
2.650005493e+02,-1.228203997e-03
2.652050476e+02,-9.816499660e-04
2.654095459e+02,7.716225809e-04
2.656140747e+02,-7.350960514e-04
2.658186340e+02,-1.146019320e-03
2.660231934e+02,-7.898858166e-04
2.662277832e+02,-9.816499660e-04
2.664324036e+02,-5.159369903e-04
2.666370239e+02,-2.693830174e-04
2.668416443e+02,5.935558147e-05
2.670462952e+02,-1.337783528e-03
2.672509766e+02,7.990174345e-04
2.674556580e+02,6.894379039e-04
2.676603699e+02,-1.050137216e-04
2.678650818e+02,3.880941949e-04
2.680698242e+02,2.237248846e-04
2.682745667e+02,-9.816499660e-04
2.684793396e+02,-1.556942589e-03
2.686841431e+02,7.990174345e-04
2.688889465e+02,-1.282993704e-03
2.690937500e+02,-1.392573235e-03
2.692986145e+02,-5.707267555e-04
2.695034485e+02,8.812021115e-04
2.697083435e+02,-6.255165208e-04
2.699132080e+02,2.237248846e-04
2.701181335e+02,-9.268602007e-04
2.703230591e+02,-9.816499660e-04
2.705279846e+02,-1.666522119e-03
2.707329407e+02,-1.255598851e-03
2.709379272e+02,-2.077445388e-03
2.711429138e+02,-1.009044820e-03
2.713479309e+02,-1.146019320e-03
2.715529480e+02,-2.597948071e-03
2.717579956e+02,-2.132235095e-03
2.719630432e+02,-1.419968088e-03
2.721681213e+02,-1.858286210e-03
2.723732300e+02,1.415402367e-04
2.725783386e+02,-1.392573235e-03
2.727834473e+02,1.264730468e-03
2.729885864e+02,-8.720704354e-04
2.731937561e+02,1.346915145e-03
2.733989258e+02,-1.474757912e-03
2.736041260e+02,-7.898858166e-04
2.738093262e+02,-5.433318438e-04
2.740145569e+02,4.976736964e-04
2.742198181e+02,-1.036439789e-03
2.744250793e+02,-7.624909049e-04
2.746303406e+02,-4.337523133e-04
2.748356323e+02,-2.282907008e-05
2.750409546e+02,6.894379039e-04
2.752462769e+02,-1.871983695e-04
2.754516296e+02,-5.022395271e-05
2.756569824e+02,-2.282907008e-05
2.758623657e+02,-4.063574306e-04
2.760677795e+02,-3.241727827e-04
2.762731934e+02,-1.871983695e-04
2.764786072e+02,1.963300019e-04
2.766840515e+02,-1.282993704e-03
2.768895264e+02,8.675046411e-05
2.770950012e+02,-1.255598851e-03
2.773005066e+02,-2.145932522e-04
2.775060120e+02,-3.515676653e-04
2.777115479e+02,-1.611732296e-03
2.779170837e+02,-8.994653472e-04
2.781226501e+02,-2.132235095e-03
2.783282471e+02,5.524634616e-04
2.785338440e+02,-5.159369903e-04
2.787394409e+02,-1.118624466e-03
2.789450684e+02,-3.241727827e-04
2.791507263e+02,-2.419881348e-04
2.793563843e+02,-1.871983695e-04
2.795620728e+02,-9.816499660e-04
2.797677612e+02,-1.529547619e-03
2.799734802e+02,1.155150938e-03
2.801791992e+02,-8.446755819e-04
2.803849487e+02,-7.624909049e-04
2.805907288e+02,-5.707267555e-04
2.807965088e+02,-1.173414174e-03
2.810023193e+02,-7.624909049e-04
2.812081299e+02,-7.624909049e-04
2.814139404e+02,1.757838414e-03
2.816198120e+02,-1.639127149e-03
2.818256531e+02,-1.337783528e-03
2.820315552e+02,-4.337523133e-04
2.822374573e+02,-3.515676653e-04
2.824433594e+02,8.675046411e-05
2.826492920e+02,-9.816499660e-04
2.828552551e+02,4.154890776e-04
2.830612183e+02,7.442276692e-04
2.832671814e+02,-6.255165208e-04
2.834731750e+02,1.237335615e-03
2.836791992e+02,6.072532269e-04
2.838852234e+02,1.374309999e-03
2.840912781e+02,-1.693916973e-03
2.842973633e+02,7.168327575e-04
2.845034485e+02,-2.269209595e-03
2.847095337e+02,-3.241727827e-04
2.849156494e+02,-4.885420785e-04
2.851217957e+02,5.935558147e-05
2.853279419e+02,1.401704852e-03
2.855340881e+02,1.922207652e-03
2.857402649e+02,-1.803496503e-03
2.859464722e+02,-1.502152765e-03
2.861526794e+02,6.072532269e-04
2.863589172e+02,3.196069883e-05
2.865651855e+02,-8.720704354e-04
2.867714233e+02,3.196069883e-05
2.869777222e+02,-2.488368656e-03
2.871840210e+02,5.798583734e-04
2.873903198e+02,-1.009044820e-03
2.875966797e+02,-1.365178381e-03
2.878030090e+02,5.250686081e-04
2.880093689e+02,1.840022975e-03
2.882157593e+02,-1.885681180e-03
2.884221497e+02,6.346481387e-04
2.886285706e+02,-1.118624466e-03
2.888349915e+02,-7.898858166e-04
2.890414429e+02,-1.598034869e-04
2.892479248e+02,5.524634616e-04
2.894544067e+02,-1.146019320e-03
2.896608887e+02,7.168327575e-04
2.898674011e+02,-1.091229497e-03
2.900739441e+02,-7.898858166e-04
2.902804871e+02,-1.036439789e-03
2.904870605e+02,-3.789625480e-04
2.906936340e+02,-1.228203997e-03
2.909002380e+02,-5.707267555e-04
2.911068420e+02,-1.474757912e-03
2.913134766e+02,-6.803062861e-04
2.915201111e+02,-7.898858166e-04
2.917267761e+02,4.154890776e-04
2.919334717e+02,-9.268602007e-04
2.921401672e+02,-3.515676653e-04
2.923468628e+02,-2.789712278e-03
2.925535889e+02,3.333044297e-04
2.927603455e+02,7.442276692e-04
2.929671021e+02,1.182545791e-03
2.931738892e+02,-1.502152765e-03
2.933806763e+02,4.702788428e-04
2.935874939e+02,-9.268602007e-04
2.937943115e+02,-7.898858166e-04
2.940011597e+02,-1.146019320e-03
2.942080383e+02,-2.693830174e-04
2.944149170e+02,-1.036439789e-03
2.946217957e+02,-1.748706680e-03
2.948287048e+02,2.250946360e-03
2.950356445e+02,7.716225809e-04
2.952425842e+02,-5.981216091e-04
2.954495544e+02,-1.324086043e-04
2.956565247e+02,-5.433318438e-04
2.958635254e+02,-3.241727827e-04
2.960705261e+02,-1.036439789e-03
2.962775574e+02,-3.789625480e-04
2.964845886e+02,-2.159629948e-03
2.966916504e+02,3.333044297e-04
2.968987427e+02,-1.776101650e-03
2.971058350e+02,-6.529113743e-04
2.973129272e+02,-1.666522119e-03
2.975200500e+02,1.415402367e-04
2.977272034e+02,-3.789625480e-04
2.979343567e+02,5.524634616e-04
2.981415405e+02,-2.159629948e-03
2.983487244e+02,-1.324086043e-04
2.985559387e+02,-2.981476486e-03
2.987631531e+02,1.963300019e-04
2.989703979e+02,8.264123462e-04
2.991776428e+02,-9.816499660e-04
2.993849182e+02,-1.228203997e-03
2.995922241e+02,-1.036439789e-03
2.997995300e+02,-1.118624466e-03
3.000068359e+02,4.565813924e-06
3.002141724e+02,-8.720704354e-04
3.004215393e+02,-1.871983695e-04
3.006289062e+02,-1.693916973e-03
3.008363037e+02,-2.967779001e-04
3.010437012e+02,-2.967779001e-04
3.012511292e+02,-2.693830174e-04
3.014585571e+02,-2.145932522e-04
3.016660156e+02,-4.611471959e-04
3.018734741e+02,-2.981476486e-03
3.020809631e+02,-1.529547619e-03
3.022884521e+02,2.141366713e-03
3.024959717e+02,-8.446755819e-04
3.027035217e+02,-3.515676653e-04
3.029110718e+02,8.675046411e-05
3.031186218e+02,-1.337783528e-03
3.033262329e+02,2.511197526e-04
3.035338135e+02,-2.104840241e-03
3.037414246e+02,-2.214419656e-03
3.039490662e+02,-1.009044820e-03
3.041567078e+02,-4.337523133e-04
3.043643799e+02,1.415402367e-04
3.045720520e+02,5.935558147e-05
3.047797546e+02,-5.022395271e-05
3.049874878e+02,1.319520175e-03
3.051952209e+02,-1.639127149e-03
3.054029541e+02,3.606993123e-04
3.056107178e+02,-1.967865741e-03
3.058185120e+02,-7.077011396e-04
3.060263062e+02,-5.022395271e-05
3.062341003e+02,-5.159369903e-04
3.064419250e+02,7.990174345e-04
3.066497803e+02,6.346481387e-04
3.068576355e+02,-9.816499660e-04
3.070655212e+02,-3.789625480e-04
3.072734070e+02,4.976736964e-04
3.074813232e+02,-6.255165208e-04
3.076892395e+02,-3.789625480e-04
3.078971863e+02,-1.337783528e-03
3.081051636e+02,4.154890776e-04
3.083131409e+02,-6.529113743e-04
3.085211182e+02,-3.200635547e-03
3.087291260e+02,1.072966261e-03
3.089371643e+02,-1.885681180e-03
3.091452026e+02,-1.721311826e-03
3.093532410e+02,-2.789712278e-03
3.095613098e+02,1.072966261e-03
3.097694092e+02,3.606993123e-04
3.099775085e+02,4.702788428e-04
3.101856384e+02,-1.419968088e-03
3.103937683e+02,2.196156420e-03
3.106019287e+02,-1.337783528e-03
3.108100891e+02,1.264730468e-03
3.110182800e+02,-1.858286210e-03
3.112264709e+02,5.524634616e-04
3.114346924e+02,-5.159369903e-04
3.116429443e+02,1.415402367e-04
3.118511963e+02,-1.748706680e-03
3.120594482e+02,-1.324086043e-04
3.122677307e+02,-2.104840241e-03
3.124760437e+02,-7.624909049e-04
3.126843567e+02,-1.474757912e-03
3.128926697e+02,-1.091229497e-03
3.131010437e+02,-1.598034869e-04
3.133093872e+02,-1.173414174e-03
3.135177612e+02,-7.898858166e-04
3.137261658e+02,3.059095470e-04
3.139345703e+02,-1.584337442e-03
3.141430054e+02,2.237248846e-04
3.143514709e+02,-1.324086043e-04
3.145599060e+02,5.935558147e-05
3.147684021e+02,-2.132235095e-03
3.149768982e+02,3.606993123e-04
3.151853943e+02,-7.898858166e-04
3.153939209e+02,-3.515676653e-04
3.156024780e+02,-4.885420785e-04
3.158110352e+02,3.880941949e-04
3.160195923e+02,-2.022655681e-03
3.162281799e+02,-2.282907008e-05
3.164367981e+02,-3.241727827e-04
3.166454163e+02,5.935558147e-05
3.168540649e+02,6.346481387e-04
3.170627136e+02,-1.447363058e-03
3.172713928e+02,-1.447363058e-03
3.174800720e+02,-1.995260594e-03
3.176887817e+02,-2.145932522e-04
3.178974915e+02,-7.077011396e-04
3.181062317e+02,-5.022395271e-05
3.183149719e+02,5.935558147e-05
3.185237427e+02,-1.146019320e-03
3.187325134e+02,-1.871983695e-04
3.189413147e+02,-1.228203997e-03
3.191501465e+02,-1.556942589e-03
3.193589783e+02,-7.624909049e-04
3.195678101e+02,-2.282907008e-05
3.197766724e+02,-2.159629948e-03
3.199855652e+02,4.702788428e-04
3.201944580e+02,-9.816499660e-04
3.204033813e+02,4.428839602e-04
3.206123047e+02,-5.433318438e-04
3.208212280e+02,-7.898858166e-04
3.210302124e+02,-9.268602007e-04
3.212391663e+02,-1.598034869e-04
3.214481812e+02,-1.228203997e-03
3.216571655e+02,1.072966261e-03
3.218662109e+02,1.415402367e-04
3.220752258e+02,-2.419881348e-04
3.222843018e+02,2.237248846e-04
3.224933777e+02,-1.228203997e-03
3.227024536e+02,-8.446755819e-04
3.229115601e+02,-2.022655681e-03
3.231206665e+02,-2.282907008e-05
3.233298035e+02,3.059095470e-04
3.235389709e+02,-1.365178381e-03
3.237481384e+02,-5.022395271e-05
3.239573059e+02,-1.639127149e-03
3.241665039e+02,4.428839602e-04
3.243757324e+02,-2.351394156e-03
3.245849609e+02,3.196069883e-05
3.247942200e+02,-1.324086043e-04
3.250034790e+02,-6.529113743e-04
3.252127686e+02,-8.446755819e-04
3.254220581e+02,1.155150938e-03
3.256313782e+02,-1.598034869e-04
3.258406982e+02,3.606993123e-04
3.260500488e+02,-1.502152765e-03
3.262593994e+02,1.963300019e-04
3.264687805e+02,-2.104840241e-03
3.266781616e+02,-1.502152765e-03
3.268875732e+02,-1.447363058e-03
3.270969849e+02,1.894812798e-03
3.273064270e+02,-1.776101650e-03
3.275158997e+02,1.648258884e-03
3.277253723e+02,-1.200809027e-03
3.279348450e+02,-5.433318438e-04
3.281443481e+02,-1.748706680e-03
3.283538513e+02,1.511284383e-03
3.285634155e+02,-2.433578717e-03
3.287729492e+02,1.401704852e-03
3.289825134e+02,-2.104840241e-03
3.291921082e+02,-1.009044820e-03
3.294017029e+02,-6.803062861e-04
3.296112976e+02,3.880941949e-04
3.298209534e+02,-2.323999302e-03
3.300305786e+02,6.072532269e-04
3.302402649e+02,-1.871983695e-04
3.304499207e+02,-1.146019320e-03
3.306596069e+02,-1.502152765e-03
3.308693237e+02,-7.624909049e-04
3.310790710e+02,-1.009044820e-03
3.312887878e+02,5.250686081e-04
3.314985657e+02,-1.282993704e-03
3.317083130e+02,-1.173414174e-03
3.319181213e+02,-2.460973803e-03
3.321279297e+02,-1.324086043e-04
3.323377380e+02,-8.446755819e-04
3.325475769e+02,-8.172806702e-04
3.327574158e+02,-5.159369903e-04
3.329672852e+02,-2.022655681e-03
3.331771851e+02,-1.365178381e-03
3.333870850e+02,-2.145932522e-04
3.335969849e+02,-2.145932522e-04
3.338069153e+02,1.155150938e-03
3.340168762e+02,-1.146019320e-03
3.342268372e+02,5.250686081e-04
3.344368286e+02,1.045571407e-03
3.346468201e+02,-9.268602007e-04
3.348568115e+02,-7.898858166e-04
3.350668335e+02,8.538071997e-04
3.352768860e+02,-1.146019320e-03
3.354869385e+02,-1.324086043e-04
3.356970215e+02,1.141453467e-04
3.359071045e+02,-5.022395271e-05
3.361172180e+02,3.059095470e-04
3.363273315e+02,-1.324086043e-04
3.365374756e+02,-1.693916973e-03
3.367476196e+02,-8.720704354e-04
3.369577942e+02,-1.392573235e-03
3.371679688e+02,-3.241727827e-04
3.373781738e+02,-6.255165208e-04
3.375883789e+02,-1.639127149e-03
3.377986145e+02,-2.967779001e-04
3.380088806e+02,-1.036439789e-03
3.382191162e+02,-1.748706680e-03
3.384294128e+02,6.072532269e-04
3.386397095e+02,-1.091229497e-03
3.388500061e+02,-3.241727827e-04
3.390603333e+02,1.319520175e-03
3.392706909e+02,-9.542551124e-04
3.394810486e+02,-2.050050534e-03
3.396914062e+02,-1.419968088e-03
3.399017944e+02,-3.241727827e-04
3.401122131e+02,7.716225809e-04
3.403226318e+02,-2.433578717e-03
3.405330505e+02,-7.898858166e-04
3.407434998e+02,-8.994653472e-04
3.409539795e+02,-2.419881348e-04
3.411644592e+02,-2.433578717e-03
3.413749390e+02,7.168327575e-04
3.415854797e+02,-1.228203997e-03
3.417959900e+02,-3.789625480e-04
3.420065308e+02,-1.282993704e-03
3.422171021e+02,5.935558147e-05
3.424276733e+02,-9.542551124e-04
3.426382751e+02,-8.172806702e-04
3.428488770e+02,-1.146019320e-03
3.430595093e+02,-1.310388558e-03
3.432701416e+02,-3.063661046e-03
3.434808044e+02,7.168327575e-04
3.436914673e+02,-1.255598851e-03
3.439021606e+02,6.894379039e-04
3.441128540e+02,-8.720704354e-04
3.443235779e+02,-1.255598851e-03
3.445343018e+02,-1.611732296e-03
3.447450562e+02,-8.172806702e-04
3.449558105e+02,-1.009044820e-03
3.451665955e+02,2.237248846e-04
3.453773804e+02,-1.885681180e-03
3.455881958e+02,8.675046411e-05
3.457990417e+02,-6.255165208e-04
3.460098877e+02,3.333044297e-04
3.462207336e+02,-1.556942589e-03
3.464316101e+02,-8.720704354e-04
3.466424866e+02,-1.282993704e-03
3.468533936e+02,-4.885420785e-04
3.470643311e+02,-1.036439789e-03
3.472752686e+02,3.606993123e-04
3.474862061e+02,-8.994653472e-04
3.476971741e+02,-2.145932522e-04
3.479081726e+02,-1.666522119e-03
3.481191711e+02,-8.446755819e-04
3.483301697e+02,-2.282907008e-05
3.485411987e+02,-1.598034869e-04
3.487522583e+02,5.250686081e-04
3.489633179e+02,-1.365178381e-03
3.491743774e+02,2.511197526e-04
3.493854675e+02,-1.584337442e-03
3.495965881e+02,1.840022975e-03
3.498077087e+02,-1.913076034e-03
