wavelength (nm), amplitude (a.u.)
2.909002380e+02,-1.110156183e-03
2.911068420e+02,8.320472552e-04
2.913134766e+02,9.688221617e-04
2.915201111e+02,-1.082801260e-03
2.917267761e+02,6.679174257e-04
2.919334717e+02,-3.989267861e-04
2.921401672e+02,1.297081937e-03
2.923468628e+02,-1.438415959e-03
2.925535889e+02,-1.137511223e-03
2.927603455e+02,-7.271865034e-04
2.929671021e+02,5.311425193e-04
2.931738892e+02,2.610120922e-03
2.933806763e+02,3.875288530e-05
2.935874939e+02,-1.328996033e-03
2.937943115e+02,-2.895068610e-04
2.940011597e+02,1.139790766e-05
2.942080383e+02,2.849476878e-04
2.944149170e+02,1.816826523e-03
2.946217957e+02,1.078242087e-03
2.948287048e+02,-3.715718049e-04
2.950356445e+02,3.875288530e-05
2.952425842e+02,4.764325568e-04
2.954495544e+02,-7.545414846e-04
2.956565247e+02,-1.684610732e-03
2.958635254e+02,8.867572178e-04
2.960705261e+02,9.141121991e-04
2.962775574e+02,5.858524819e-04
2.964845886e+02,-1.219576108e-03
2.966916504e+02,4.490775755e-04
2.968987427e+02,9.346284060e-05
2.971058350e+02,2.028827585e-04
2.973129272e+02,1.187662012e-03
2.975200500e+02,1.543276710e-03
2.977272034e+02,-1.082801260e-03
2.979343567e+02,2.063021297e-03
2.981415405e+02,1.132952049e-03
2.983487244e+02,5.037875380e-04
2.985559387e+02,6.952723488e-04
2.987631531e+02,3.670126316e-04
2.989703979e+02,-1.253769879e-04
2.991776428e+02,3.396576503e-04
2.993849182e+02,-4.536367196e-04
2.995922241e+02,4.490775755e-04
2.997995300e+02,-4.331205128e-05
3.000068359e+02,2.028827585e-04
3.002141724e+02,-5.357016926e-04
3.004215393e+02,6.132074632e-04
3.006289062e+02,-3.168618423e-04
3.008363037e+02,5.584975006e-04
3.010437012e+02,4.217225942e-04
3.012511292e+02,3.875288530e-05
3.014585571e+02,-1.821385697e-03
3.016660156e+02,3.396576503e-04
3.018734741e+02,6.405624445e-04
3.020809631e+02,-1.219576108e-03
3.022884521e+02,-1.876095659e-03
3.024959717e+02,2.028827585e-04
3.027035217e+02,-1.595707181e-05
3.029110718e+02,-3.442168236e-04
3.031186218e+02,-5.630566739e-04
3.033262329e+02,1.481727959e-04
3.035338135e+02,9.688221617e-04
3.037414246e+02,1.625341596e-03
3.039490662e+02,-1.821385697e-03
3.041567078e+02,1.269726898e-03
3.043643799e+02,-2.895068610e-04
3.045720520e+02,3.123026690e-04
3.047797546e+02,-2.074419172e-04
3.049874878e+02,-8.913163911e-04
3.051952209e+02,-1.520480844e-03
3.054029541e+02,7.226273301e-04
3.056107178e+02,7.773372927e-04
3.058185120e+02,4.490775755e-04
3.060263062e+02,-3.989267861e-04
3.062341003e+02,6.405624445e-04
3.064419250e+02,3.123026690e-04
3.066497803e+02,-1.110156183e-03
3.068576355e+02,4.490775755e-04
3.070655212e+02,5.311425193e-04
3.072734070e+02,-1.520480844e-03
3.074813232e+02,7.773372927e-04
3.076892395e+02,3.943676129e-04
3.078971863e+02,1.208178219e-04
3.081051636e+02,1.844181446e-03
3.083131409e+02,-3.168618423e-04
3.085211182e+02,1.208178219e-04
3.087291260e+02,1.379146823e-03
3.089371643e+02,4.217225942e-04
3.091452026e+02,2.302377397e-04
3.093532410e+02,2.227151068e-03
3.095613098e+02,-9.802200657e-05
3.097694092e+02,-7.818964659e-04
3.099775085e+02,-2.347968984e-04
3.101856384e+02,-4.331205128e-05
3.103937683e+02,8.046922740e-04
3.106019287e+02,-4.536367196e-04
3.108100891e+02,1.481727959e-04
3.110182800e+02,2.090376336e-03
3.112264709e+02,-4.331205128e-05
3.114346924e+02,7.499823114e-04
3.116429443e+02,3.943676129e-04
3.118511963e+02,-8.092514472e-04
3.120594482e+02,1.050887047e-03
3.122677307e+02,-9.802200657e-05
3.124760437e+02,-2.074419172e-04
3.126843567e+02,-1.110156183e-03
3.128926697e+02,-1.082801260e-03
3.131010437e+02,-1.711965771e-03
3.133093872e+02,1.625341596e-03
3.135177612e+02,-2.587325172e-03
3.137261658e+02,1.351791900e-03
3.139345703e+02,-2.074419172e-04
3.141430054e+02,2.302377397e-04
3.143514709e+02,-1.164866146e-03
3.145599060e+02,2.199796261e-03
3.147684021e+02,-5.083467113e-04
3.149768982e+02,-1.800869504e-04
3.151853943e+02,-2.040225547e-03
3.153939209e+02,-6.724765408e-04
3.156024780e+02,-6.177665782e-04
3.158110352e+02,-3.168618423e-04
3.160195923e+02,7.499823114e-04
3.162281799e+02,1.139790766e-05
3.164367981e+02,1.481727959e-04
3.166454163e+02,-1.253769879e-04
3.168540649e+02,-4.262817383e-04
3.170627136e+02,1.160306972e-03
3.172713928e+02,2.302377397e-04
3.174800720e+02,-4.536367196e-04
3.176887817e+02,3.943676129e-04
3.178974915e+02,1.351791900e-03
3.181062317e+02,-6.451215595e-04
3.183149719e+02,-1.595707181e-05
3.185237427e+02,9.346284060e-05
3.187325134e+02,1.324436860e-03
3.189413147e+02,-4.331205128e-05
3.191501465e+02,2.575927065e-04
3.193589783e+02,-4.331205128e-05
3.195678101e+02,-5.630566739e-04
3.197766724e+02,-6.177665782e-04
3.199855652e+02,1.844181446e-03
3.201944580e+02,-5.630566739e-04
3.204033813e+02,8.867572178e-04
3.206123047e+02,7.226273301e-04
3.208212280e+02,-6.451215595e-04
3.210302124e+02,-2.204355318e-03
3.212391663e+02,-1.110156183e-03
3.214481812e+02,3.396576503e-04
3.216571655e+02,2.008311450e-03
3.218662109e+02,-2.895068610e-04
3.220752258e+02,1.926246448e-03
3.222843018e+02,-1.219576108e-03
3.224933777e+02,6.952723488e-04
3.227024536e+02,9.346284060e-05
3.229115601e+02,-2.149645472e-03
3.231206665e+02,2.028827585e-04
3.233298035e+02,-5.904115969e-04
3.235389709e+02,-2.347968984e-04
3.237481384e+02,1.078242087e-03
3.239573059e+02,-8.366064285e-04
3.241665039e+02,-7.818964659e-04
3.243757324e+02,2.028827585e-04
3.245849609e+02,-1.328996033e-03
3.247942200e+02,-1.055446221e-03
3.250034790e+02,9.688221617e-04
3.252127686e+02,5.858524819e-04
3.254220581e+02,1.105597010e-03
3.256313782e+02,3.396576503e-04
3.258406982e+02,5.858524819e-04
3.260500488e+02,1.023532124e-03
3.262593994e+02,1.208178219e-04
3.264687805e+02,5.584975006e-04
3.266781616e+02,1.139790766e-05
3.268875732e+02,-2.347968984e-04
3.270969849e+02,2.172441222e-03
3.273064270e+02,-6.998315221e-04
3.275158997e+02,5.858524819e-04
3.277253723e+02,1.926246448e-03
3.279348450e+02,1.734761521e-03
3.281443481e+02,-4.262817383e-04
3.283538513e+02,-8.913163911e-04
3.285634155e+02,8.594022365e-04
3.287729492e+02,5.311425193e-04
3.289825134e+02,9.961770847e-04
3.291921082e+02,-1.082801260e-03
3.294017029e+02,-1.356351073e-03
3.296112976e+02,2.028827585e-04
3.298209534e+02,-4.809917009e-04
3.300305786e+02,2.227151068e-03
3.302402649e+02,-4.262817383e-04
3.304499207e+02,2.849476878e-04
3.306596069e+02,-7.066702528e-05
3.308693237e+02,7.226273301e-04
3.310790710e+02,-6.724765408e-04
3.312887878e+02,-6.724765408e-04
3.314985657e+02,1.139790766e-05
3.317083130e+02,3.123026690e-04
3.319181213e+02,3.123026690e-04
3.321279297e+02,1.242371975e-03
3.323377380e+02,6.952723488e-04
3.325475769e+02,-7.066702528e-05
3.327574158e+02,-4.331205128e-05
3.329672852e+02,-6.998315221e-04
3.331771851e+02,-2.347968984e-04
3.333870850e+02,9.961770847e-04
3.335969849e+02,-1.000736258e-03
3.338069153e+02,1.242371975e-03
3.340168762e+02,2.028827585e-04
3.342268372e+02,1.926246448e-03
3.344368286e+02,3.943676129e-04
3.346468201e+02,1.351791900e-03
3.348568115e+02,1.755277772e-04
3.350668335e+02,1.755277772e-04
3.352768860e+02,2.028827585e-04
3.354869385e+02,-8.639614098e-04
3.356970215e+02,-3.168618423e-04
3.359071045e+02,6.405624445e-04
3.361172180e+02,-2.074419172e-04
3.363273315e+02,-5.357016926e-04
3.365374756e+02,-7.271865034e-04
3.367476196e+02,2.555410843e-03
3.369577942e+02,-1.253769879e-04
3.371679688e+02,-5.904115969e-04
3.373781738e+02,1.139790766e-05
3.375883789e+02,4.217225942e-04
3.377986145e+02,4.490775755e-04
3.380088806e+02,9.141121991e-04
3.382191162e+02,6.679174257e-04
3.384294128e+02,1.139790766e-05
3.386397095e+02,4.764325568e-04
3.388500061e+02,-7.271865034e-04
3.390603333e+02,3.943676129e-04
3.392706909e+02,1.187662012e-03
3.394810486e+02,-1.657255809e-03
3.396914062e+02,1.023532124e-03
3.399017944e+02,-1.383705996e-03
3.401122131e+02,1.755277772e-04
3.403226318e+02,-4.809917009e-04
3.405330505e+02,1.543276710e-03
3.407434998e+02,-8.639614098e-04
3.409539795e+02,3.123026690e-04
3.411644592e+02,1.208178219e-04
3.413749390e+02,1.543276710e-03
3.415854797e+02,2.336570993e-03
3.417959900e+02,7.226273301e-04
3.420065308e+02,-3.168618423e-04
3.422171021e+02,-9.802200657e-05
3.424276733e+02,1.324436860e-03
3.426382751e+02,-1.958160661e-03
3.428488770e+02,5.584975006e-04
3.430595093e+02,1.625341596e-03
3.432701416e+02,-7.545414846e-04
3.434808044e+02,2.828960773e-03
3.436914673e+02,-4.262817383e-04
3.439021606e+02,-7.066702528e-05
3.441128540e+02,-5.904115969e-04
3.443235779e+02,1.242371975e-03
3.445343018e+02,-6.451215595e-04
3.447450562e+02,1.208178219e-04
3.449558105e+02,6.610786659e-05
3.451665955e+02,3.943676129e-04
3.453773804e+02,-1.657255809e-03
3.455881958e+02,1.543276710e-03
3.457990417e+02,-7.271865034e-04
3.460098877e+02,-7.066702528e-05
3.462207336e+02,-1.411061035e-03
3.464316101e+02,-7.818964659e-04
3.466424866e+02,-1.219576108e-03
3.468533936e+02,1.208178219e-04
3.470643311e+02,1.208178219e-04
3.472752686e+02,8.867572178e-04
3.474862061e+02,-1.465770998e-03
3.476971741e+02,5.037875380e-04
3.479081726e+02,-7.545414846e-04
3.481191711e+02,8.867572178e-04
3.483301697e+02,-9.733813349e-04
3.485411987e+02,6.405624445e-04
3.487522583e+02,-1.192221185e-03
3.489633179e+02,1.652696636e-03
3.491743774e+02,3.123026690e-04
3.493854675e+02,8.867572178e-04
3.495965881e+02,1.481727959e-04
3.498077087e+02,2.281861147e-03
3.500188293e+02,-2.074419172e-04
3.502300110e+02,-1.411061035e-03
3.504411621e+02,1.755277772e-04
3.506523438e+02,1.050887047e-03
3.508635559e+02,-1.028091297e-03
3.510747681e+02,1.208178219e-04
3.512860107e+02,5.858524819e-04
3.514972534e+02,1.132952049e-03
3.517084961e+02,-1.930805622e-03
3.519197998e+02,-8.092514472e-04
3.521310730e+02,-8.639614098e-04
